Date,Rh1,Rh2,Tmax,Tmin,Rainfall
1/16/2000,100,39,22.1,-3,0
1/17/2000,96.7,48.9,21.7,-0.9,0
1/18/2000,96.6,70,21,0.5,0
1/19/2000,100,61,21.4,1.3,0
1/20/2000,95.3,67.1,20.2,2,0
1/21/2000,90.4,71.8,19.2,5.4,0
1/22/2000,94.7,68.1,19,6.4,0
1/23/2000,83.3,73.7,18.6,7,0
1/24/2000,89.1,64.8,18.1,4.9,T
1/25/2000,100,68.5,20.2,3,T
1/26/2000,100,62.6,21,3,0
1/27/2000,100,61.9,21.2,1.2,0
1/28/2000,87.4,36.5,20.8,1,0
1/29/2000,88.7,51.4,19.9,0.5,0
1/30/2000,78.2,65.2,20.2,1.6,0
1/31/2000,92.4,66.6,18.3,7.1,0
2/1/2000,97,81.2,15.2,3.6,0
2/2/2000,94.6,67.6,22.5,5.6,0
2/3/2000,90.7,46.3,22.2,4.4,0
2/4/2000,93.5,48.8,22.7,1,0
2/5/2000,85.9,53.8,20.4,3.2,0
2/6/2000,100,73.1,13.8,6.1,0
2/7/2000,95.7,62.7,20.8,4.5,0
2/8/2000,91.6,62,21.6,4.5,0
2/9/2000,90.3,51.2,21.3,1,0
2/10/2000,100,54.5,22.4,0.4,0
2/11/2000,90.5,57.6,20.2,0.6,0
2/12/2000,100,58.1,21.1,6,0
2/13/2000,97,58.5,23,3.3,0
2/14/2000,82.6,57.1,22.6,5.6,0
2/15/2000,90.5,34.6,23.1,1.6,0
2/16/2000,89,50.3,22,4.6,0
2/17/2000,100,70,23,3.6,T
2/18/2000,93.4,45.4,21.2,1.5,0
2/19/2000,93.3,37,21.7,0.6,0
2/20/2000,94.1,53.5,21,4,0
2/21/2000,83.9,40.2,22.5,0.2,0
2/22/2000,90.7,47.3,22.4,1.2,0
2/23/2000,85.6,30.5,23.1,1.2,T
2/24/2000,90.2,31.9,23.8,1.8,0
2/25/2000,94.1,51.2,22,2.5,T
2/26/2000,89,44.7,20.7,4.6,1.5
2/27/2000,91.4,56.7,20.2,1.7,14.2
2/28/2000,94.2,79.3,16.5,3.3,0
2/29/2000,94.8,64.7,19.3,5.5,0
3/1/2000,87.9,58.9,18.5,8.4,0
3/2/2000,94.8,80.2,22.8,4.2,0
3/3/2000,97.4,47.3,22.7,7,0
3/4/2000,92.3,44.7,23,4.6,0
3/5/2000,81.7,66,25.5,4.8,0
3/6/2000,89.4,39.4,26.5,5.3,0
3/7/2000,87.4,23.4,26.8,5.7,0
3/8/2000,74.5,28.1,25,7.4,0
3/9/2000,63,41.6,23.9,4.6,0
3/10/2000,63.9,52.8,23.5,4.5,T
3/11/2000,87.1,35.8,25,5.8,0
3/12/2000,85.1,29.4,24.4,6.2,0
3/13/2000,76.9,48.9,23.4,8.5,0
3/14/2000,66.7,42.3,23.2,8.3,0.4
3/15/2000,78.1,47.8,24.6,6.7,0.9
3/16/2000,85.1,46.9,24.1,6.7,0
3/17/2000,80.5,41.3,24.8,6.4,0
3/18/2000,83,30.3,26.3,6.1,0
3/19/2000,68.1,48.4,26.4,6.4,0
3/20/2000,79.9,43,27.1,7.2,0
3/21/2000,65.2,32.3,27.2,6.6,0
3/22/2000,68.3,23.8,28.5,6.7,0
3/23/2000,54.1,88.8,21.7,10.7,6.1
3/24/2000,92.1,55.8,24.5,5,T
3/25/2000,89.8,40.1,26.8,5.3,0
3/26/2000,72.7,42.9,27.6,7.5,0
3/27/2000,78.3,86.9,27.5,10.2,0
3/28/2000,90.5,61.9,28.2,5.3,0
3/29/2000,79.1,66.9,28.7,8,0
3/30/2000,67.1,31.2,29,9.6,0
3/31/2000,78,45,30.5,10.7,1
4/1/2000,84.3,41.3,31.5,12.7,3.5
4/2/2000,67.1,25.9,32.4,11.6,0.4
